county,fips,candidate,state,votes
Lincoln County,29113,Hillary Clinton,MO,5575
Lincoln County,29113,Gary Johnson,MO,808
Lincoln County,29113,Jill Stein,MO,198
Lincoln County,29113,Darrell Castle,MO,180
Putnam County,54079,Donald Trump,WV,17788
Putnam County,54079,Hillary Clinton,WV,5884
Putnam County,54079,Gary Johnson,WV,823
Putnam County,54079,Jill Stein,WV,265
Putnam County,54079,Darrell Castle,WV,133
Bristol County,44001,Hillary Clinton,RI,14609
Bristol County,44001,Donald Trump,RI,8965
Bristol County,44001,Gary Johnson,RI,943
Bristol County,44001,Jill Stein,RI,317
Bristol County,44001,Rocky De La Fuente,RI,34
Lee County,37105,Donald Trump,NC,13712
Lee County,37105,Hillary Clinton,NC,10469
Lee County,37105,Gary Johnson,NC,684
Laurel County,21125,Donald Trump,KY,20592
Laurel County,21125,Hillary Clinton,KY,3440
Laurel County,21125,Gary Johnson,KY,473
Laurel County,21125,Evan McMullin,KY,192
Laurel County,21125,Jill Stein,KY,114
Laurel County,21125,Rocky De La Fuente,KY,13
Huron County,39077,Donald Trump,OH,16226
Huron County,39077,Hillary Clinton,OH,7192
Huron County,39077,Gary Johnson,OH,923
Huron County,39077,Richard Duncan,OH,244
Huron County,39077,Jill Stein,OH,192
Edgecombe County,37065,Hillary Clinton,NC,16224
Edgecombe County,37065,Donald Trump,NC,8261
Edgecombe County,37065,Gary Johnson,NC,284
Autauga County,1001,Donald Trump,AL,18172
Autauga County,1001,Hillary Clinton,AL,5936
Autauga County,1001,Gary Johnson,AL,546
Autauga County,1001,Jill Stein,AL,105
St. Francois County,29187,Donald Trump,MO,17468
St. Francois County,29187,Hillary Clinton,MO,6250
St. Francois County,29187,Gary Johnson,MO,712
St. Francois County,29187,Jill Stein,MO,171
St. Francois County,29187,Darrell Castle,MO,114
Wise County,48497,Donald Trump,TX,20670
Wise County,48497,Hillary Clinton,TX,3412
Wise County,48497,Gary Johnson,TX,505
Wise County,48497,Jill Stein,TX,91
Colbert County,1033,Donald Trump,AL,16746
Colbert County,1033,Hillary Clinton,AL,7312
Colbert County,1033,Gary Johnson,AL,511
Colbert County,1033,Jill Stein,AL,107
Pike County,21195,Donald Trump,KY,19747
Pike County,21195,Hillary Clinton,KY,4280
Pike County,21195,Gary Johnson,KY,413
Pike County,21195,Evan McMullin,KY,124
Pike County,21195,Jill Stein,KY,86
Pike County,21195,Rocky De La Fuente,KY,13
Pickaway County,39129,Donald Trump,OH,17076
Pickaway County,39129,Hillary Clinton,OH,6529
Pickaway County,39129,Gary Johnson,OH,756
Pickaway County,39129,Jill Stein,OH,180
Pickaway County,39129,Richard Duncan,OH,114
Lamar County,28073,Donald Trump,MS,18751
Lamar County,28073,Hillary Clinton,MS,5190
Lamar County,28073,Gary Johnson,MS,452
Lamar County,28073,Darrell Castle,MS,104
Lamar County,28073,Jill Stein,MS,75
Lamar County,28073,Rocky De La Fuente,MS,13
Lamar County,28073,Jim Hedges,MS,7
Ashland County,39005,Donald Trump,OH,17493
Ashland County,39005,Hillary Clinton,OH,5740
Ashland County,39005,Gary Johnson,OH,906
Ashland County,39005,Jill Stein,OH,185
Ashland County,39005,Richard Duncan,OH,183
Lincoln County,41041,Hillary Clinton,OR,12501
Lincoln County,41041,Donald Trump,OR,10039
Lincoln County,41041,Gary Johnson,OR,1130
Lincoln County,41041,Jill Stein,OR,748
Henry County,17073,Donald Trump,IL,13985
Henry County,17073,Hillary Clinton,IL,8871
Henry County,17073,Gary Johnson,IL,1243
Henry County,17073,Jill Stein,IL,200
Lake County,6033,Hillary Clinton,CA,11496
Lake County,6033,Donald Trump,CA,10599
Lake County,6033,Gary Johnson,CA,1095
Lake County,6033,Jill Stein,CA,930
Lake County,6033,Gloria La Riva,CA,103
Muskogee County,40101,Donald Trump,OK,15043
Muskogee County,40101,Hillary Clinton,OK,7977
Muskogee County,40101,Gary Johnson,OK,1196
Washington County,36115,Donald Trump,NY,13610
Washington County,36115,Hillary Clinton,NY,9098
Washington County,36115,Gary Johnson,NY,926
Washington County,36115,Jill Stein,NY,578
Jackson County,17077,Hillary Clinton,IL,11634
Jackson County,17077,Donald Trump,IL,10843
Jackson County,17077,Gary Johnson,IL,1081
Jackson County,17077,Jill Stein,IL,649
Liberty County,48291,Donald Trump,TX,18892
Liberty County,48291,Hillary Clinton,TX,4862
Liberty County,48291,Gary Johnson,TX,364
Liberty County,48291,Jill Stein,TX,85
Scott County,21209,Donald Trump,KY,15052
Scott County,21209,Hillary Clinton,KY,7715
Scott County,21209,Gary Johnson,KY,853
Scott County,21209,Evan McMullin,KY,402
Scott County,21209,Jill Stein,KY,139
Scott County,21209,Rocky De La Fuente,KY,19
Jefferson County,54037,Donald Trump,WV,13204
Jefferson County,54037,Hillary Clinton,WV,9518
Jefferson County,54037,Gary Johnson,WV,1005
Jefferson County,54037,Jill Stein,WV,333
Jefferson County,54037,Darrell Castle,WV,87
Reno County,20155,Donald Trump,KS,15513
Reno County,20155,Hillary Clinton,KS,6837
Reno County,20155,Gary Johnson,KS,1280
Reno County,20155,Jill Stein,KS,456
Grant County,55043,Donald Trump,WI,12350
Grant County,55043,Hillary Clinton,WI,10051
Grant County,55043,Gary Johnson,WI,1164
Grant County,55043,Jill Stein,WI,319
Grant County,55043,Darrell Castle,WI,133
Grant County,55043,Monica Moorehead,WI,26
Grant County,55043,Rocky De La Fuente,WI,20
Henry County,51089,Donald Trump,VA,15208
Henry County,51089,Hillary Clinton,VA,8198
Henry County,51089,Gary Johnson,VA,378
Henry County,51089,Evan McMullin,VA,147
Henry County,51089,Jill Stein,VA,98
Wayne County,42127,Donald Trump,PA,16244
Wayne County,42127,Hillary Clinton,PA,7008
Wayne County,42127,Gary Johnson,PA,466
Wayne County,42127,Jill Stein,PA,206
Wayne County,42127,Darrell Castle,PA,94
Seneca County,39147,Donald Trump,OH,14825
Seneca County,39147,Hillary Clinton,OH,7404
Seneca County,39147,Gary Johnson,OH,1302
Seneca County,39147,Jill Stein,OH,242
Seneca County,39147,Richard Duncan,OH,187
Walker County,13295,Donald Trump,GA,18950
Walker County,13295,Hillary Clinton,GA,4215
Walker County,13295,Gary Johnson,GA,791
Dearborn County,18029,Donald Trump,IN,18113
Dearborn County,18029,Hillary Clinton,IN,4883
Dearborn County,18029,Gary Johnson,IN,917
Franklin County,21073,Donald Trump,KY,11819
Franklin County,21073,Hillary Clinton,KY,10717
Franklin County,21073,Gary Johnson,KY,725
Franklin County,21073,Evan McMullin,KY,343
Franklin County,21073,Jill Stein,KY,236
Franklin County,21073,Rocky De La Fuente,KY,20
Ogle County,17141,Donald Trump,IL,14352
Ogle County,17141,Hillary Clinton,IL,8050
Ogle County,17141,Gary Johnson,IL,1159
Ogle County,17141,Jill Stein,IL,275
Lyon County,32019,Donald Trump,NV,16005
Lyon County,32019,Hillary Clinton,NV,6146
Lyon County,32019,Gary Johnson,NV,813
Lyon County,32019, None of these candidates,NV,575
Lyon County,32019,Darrell Castle,NV,159
Lyon County,32019,Rocky De La Fuente,NV,64
St. Joseph County,26149,Donald Trump,MI,14884
St. Joseph County,26149,Hillary Clinton,MI,7526
St. Joseph County,26149,Gary Johnson,MI,934
St. Joseph County,26149,Jill Stein,MI,290
St. Joseph County,26149,Darrell Castle,MI,111
St. Joseph County,26149,Emidio Soltysik,MI,12
Beaufort County,37013,Donald Trump,NC,14543
Beaufort County,37013,Hillary Clinton,NC,8764
Beaufort County,37013,Gary Johnson,NC,426
Franklin County,53021,Donald Trump,WA,13206
Franklin County,53021,Hillary Clinton,WA,8886
Franklin County,53021,Gary Johnson,WA,1148
Franklin County,53021,Jill Stein,WA,225
Franklin County,53021,Darrell Castle,WA,175
Franklin County,53021,Alyson Kennedy,WA,46
Franklin County,53021,Gloria La Riva,WA,34
Tehama County,6103,Donald Trump,CA,15494
Tehama County,6103,Hillary Clinton,CA,6809
Tehama County,6103,Gary Johnson,CA,953
Tehama County,6103,Jill Stein,CA,290
Tehama County,6103,Gloria La Riva,CA,138
Shelby County,39149,Donald Trump,OH,18590
Shelby County,39149,Hillary Clinton,OH,4243
Shelby County,39149,Gary Johnson,OH,594
Shelby County,39149,Richard Duncan,OH,132
Shelby County,39149,Jill Stein,OH,125
Itasca County,27061,Donald Trump,MN,12920
Itasca County,27061,Hillary Clinton,MN,9015
Itasca County,27061,Gary Johnson,MN,792
Itasca County,27061,Evan McMullin,MN,355
Itasca County,27061,Jill Stein,MN,274
Itasca County,27061,Dan Vacek,MN,150
Itasca County,27061,Darrell Castle,MN,126
Itasca County,27061,Rocky De La Fuente,MN,10
Itasca County,27061,Alyson Kennedy,MN,8
Columbus County,37047,Donald Trump,NC,14272
Columbus County,37047,Hillary Clinton,NC,9063
Columbus County,37047,Gary Johnson,NC,306
Bedford County,42009,Donald Trump,PA,19552
Bedford County,42009,Hillary Clinton,PA,3645
Bedford County,42009,Gary Johnson,PA,260
Bedford County,42009,Jill Stein,PA,102
Bedford County,42009,Darrell Castle,PA,78
Auglaize County,39011,Donald Trump,OH,18658
Auglaize County,39011,Hillary Clinton,OH,3980
Auglaize County,39011,Gary Johnson,OH,701
Auglaize County,39011,Richard Duncan,OH,132
Auglaize County,39011,Jill Stein,OH,112
Greene County,47059,Donald Trump,TN,18562
Greene County,47059,Hillary Clinton,TN,4216
Greene County,47059,Gary Johnson,TN,481
Greene County,47059,Jill Stein,TN,152
Greene County,47059,Mike Smith,TN,56
Greene County,47059,Alyson Kennedy,TN,29
Greene County,47059,Rocky De La Fuente,TN,28
Taney County,29213,Donald Trump,MO,18276
Taney County,29213,Hillary Clinton,MO,4373
Taney County,29213,Gary Johnson,MO,525
Taney County,29213,Darrell Castle,MO,142
Taney County,29213,Jill Stein,MO,129
Effingham County,13103,Donald Trump,GA,17874
Effingham County,13103,Hillary Clinton,GA,4853
Effingham County,13103,Gary Johnson,GA,679
Tipton County,47167,Donald Trump,TN,16910
Tipton County,47167,Hillary Clinton,TN,5785
Tipton County,47167,Gary Johnson,TN,485
Tipton County,47167,Jill Stein,TN,90
Tipton County,47167,Mike Smith,TN,53
Tipton County,47167,Rocky De La Fuente,TN,40
Tipton County,47167,Alyson Kennedy,TN,33
Venango County,42121,Donald Trump,PA,16021
Venango County,42121,Hillary Clinton,PA,6309
Venango County,42121,Gary Johnson,PA,733
Venango County,42121,Jill Stein,PA,149
Venango County,42121,Darrell Castle,PA,136
Loudon County,47105,Donald Trump,TN,17610
Loudon County,47105,Hillary Clinton,TN,4919
Loudon County,47105,Gary Johnson,TN,573
Loudon County,47105,Jill Stein,TN,87
Loudon County,47105,Mike Smith,TN,77
Loudon County,47105,Rocky De La Fuente,TN,41
Loudon County,47105,Alyson Kennedy,TN,22
Jessamine County,21113,Donald Trump,KY,15474
Jessamine County,21113,Hillary Clinton,KY,6144
Jessamine County,21113,Gary Johnson,KY,829
Jessamine County,21113,Evan McMullin,KY,675
Jessamine County,21113,Jill Stein,KY,170
Jessamine County,21113,Rocky De La Fuente,KY,14
Kerr County,48265,Donald Trump,TX,17727
Kerr County,48265,Hillary Clinton,TX,4681
Kerr County,48265,Gary Johnson,TX,657
Kerr County,48265,Jill Stein,TX,116
Knox County,23013,Hillary Clinton,ME,12443
Knox County,23013,Donald Trump,ME,9148
Knox County,23013,Gary Johnson,ME,948
Knox County,23013,Jill Stein,ME,535
Calaveras County,6009,Donald Trump,CA,13511
Calaveras County,6009,Hillary Clinton,CA,7944
Calaveras County,6009,Gary Johnson,CA,1104
Calaveras County,6009,Jill Stein,CA,424
Calaveras County,6009,Gloria La Riva,CA,56
Marion County,54049,Donald Trump,WV,14668
Marion County,54049,Hillary Clinton,WV,6964
Marion County,54049,Gary Johnson,WV,899
Marion County,54049,Jill Stein,WV,367
Marion County,54049,Darrell Castle,WV,131
Grundy County,17063,Donald Trump,IL,13454
Grundy County,17063,Hillary Clinton,IL,8065
Grundy County,17063,Gary Johnson,IL,1140
Grundy County,17063,Jill Stein,IL,323
Mercer County,54055,Donald Trump,WV,17404
Mercer County,54055,Hillary Clinton,WV,4704
Mercer County,54055,Gary Johnson,WV,552
Mercer County,54055,Jill Stein,WV,209
Mercer County,54055,Darrell Castle,WV,113
St. Mary Parish,22101,Donald Trump,LA,14359
St. Mary Parish,22101,Hillary Clinton,LA,8050
St. Mary Parish,22101,Gary Johnson,LA,245
St. Mary Parish,22101,Jill Stein,LA,85
St. Mary Parish,22101,Evan McMullin,LA,51
St. Mary Parish,22101,Darrell Castle,LA,27
St. Mary Parish,22101,Tom Hoefling,LA,19
St. Mary Parish,22101,Chris Keniston,LA,16
St. Mary Parish,22101,Laurence Kotlikoff,LA,10
St. Mary Parish,22101,Princess Jacob,LA,5
St. Mary Parish,22101,Alyson Kennedy,LA,4
St. Mary Parish,22101,Jerry White,LA,4
St. Mary Parish,22101,Gloria La Riva,LA,2
Clinton County,19045,Donald Trump,IA,11276
Clinton County,19045,Hillary Clinton,IA,10095
Clinton County,19045,Gary Johnson,IA,825
Clinton County,19045,Jill Stein,IA,184
Clinton County,19045,Evan McMullin,IA,135
Clinton County,19045,Darrell Castle,IA,105
Clinton County,19045,Dan Vacek,IA,103
Clinton County,19045,Lynn Kahn,IA,66
Clinton County,19045,Gloria La Riva,IA,6
Clinton County,19045,Rocky De La Fuente,IA,5
Hardin County,48199,Donald Trump,TX,19606
Hardin County,48199,Hillary Clinton,TX,2780
Hardin County,48199,Gary Johnson,TX,353
Hardin County,48199,Jill Stein,TX,41
Yuba County,6115,Donald Trump,CA,13170
Yuba County,6115,Hillary Clinton,CA,7910
Yuba County,6115,Gary Johnson,CA,1063
Yuba County,6115,Jill Stein,CA,438
Yuba County,6115,Gloria La Riva,CA,168
Cerro Gordo County,19033,Donald Trump,IA,11621
Cerro Gordo County,19033,Hillary Clinton,IA,9862
Cerro Gordo County,19033,Gary Johnson,IA,851
Cerro Gordo County,19033,Evan McMullin,IA,145
Cerro Gordo County,19033,Jill Stein,IA,130
Cerro Gordo County,19033,Lynn Kahn,IA,43
Cerro Gordo County,19033,Darrell Castle,IA,26
Cerro Gordo County,19033,Dan Vacek,IA,21
Cerro Gordo County,19033,Rocky De La Fuente,IA,8
Cerro Gordo County,19033,Gloria La Riva,IA,2
Stevens County,53065,Donald Trump,WA,15161
Stevens County,53065,Hillary Clinton,WA,5767
Stevens County,53065,Gary Johnson,WA,1134
Stevens County,53065,Jill Stein,WA,307
Stevens County,53065,Darrell Castle,WA,254
Stevens County,53065,Alyson Kennedy,WA,31
Stevens County,53065,Gloria La Riva,WA,23
Boone County,17007,Donald Trump,IL,12282
Boone County,17007,Hillary Clinton,IL,8986
Boone County,17007,Gary Johnson,IL,1068
Boone County,17007,Jill Stein,IL,330
Polk County,55095,Donald Trump,WI,13810
Polk County,55095,Hillary Clinton,WI,7565
Polk County,55095,Gary Johnson,WI,885
Polk County,55095,Jill Stein,WI,232
Polk County,55095,Darrell Castle,WI,107
Polk County,55095,Monica Moorehead,WI,18
Polk County,55095,Rocky De La Fuente,WI,17
Waldo County,23027,Hillary Clinton,ME,10440
Waldo County,23027,Donald Trump,ME,10378
Waldo County,23027,Gary Johnson,ME,1220
Waldo County,23027,Jill Stein,ME,590
Newaygo County,26123,Donald Trump,MI,15173
Newaygo County,26123,Hillary Clinton,MI,6212
Newaygo County,26123,Gary Johnson,MI,878
Newaygo County,26123,Jill Stein,MI,197
Newaygo County,26123,Darrell Castle,MI,129
Newaygo County,26123,Emidio Soltysik,MI,15
Cass County,26027,Donald Trump,MI,14243
Cass County,26027,Hillary Clinton,MI,7270
Cass County,26027,Gary Johnson,MI,753
Cass County,26027,Jill Stein,MI,199
Cass County,26027,Darrell Castle,MI,100
Cass County,26027,Emidio Soltysik,MI,9
Pope County,5115,Donald Trump,AR,16256
Pope County,5115,Hillary Clinton,AR,5000
Pope County,5115,Gary Johnson,AR,618
Pope County,5115,Evan McMullin,AR,233
Pope County,5115,Jill Stein,AR,225
Pope County,5115,Jim Hedges,AR,94
Pope County,5115,Darrell Castle,AR,82
Pope County,5115,Lynn Kahn,AR,61
Barron County,55005,Donald Trump,WI,13614
Barron County,55005,Hillary Clinton,WI,7889
Barron County,55005,Gary Johnson,WI,727
Barron County,55005,Jill Stein,WI,170
Barron County,55005,Darrell Castle,WI,117
Barron County,55005,Monica Moorehead,WI,17
Barron County,55005,Rocky De La Fuente,WI,11
Nacogdoches County,48347,Donald Trump,TX,14771
Nacogdoches County,48347,Hillary Clinton,TX,6846
Nacogdoches County,48347,Gary Johnson,TX,702
Nacogdoches County,48347,Jill Stein,TX,159
Camden County,29029,Donald Trump,MO,16944
Camden County,29029,Hillary Clinton,MO,4768
Camden County,29029,Gary Johnson,MO,597
Camden County,29029,Jill Stein,MO,110
Camden County,29029,Darrell Castle,MO,57
Crawford County,5033,Donald Trump,AR,16686
Crawford County,5033,Hillary Clinton,AR,4488
Crawford County,5033,Gary Johnson,AR,581
Crawford County,5033,Evan McMullin,AR,248
Crawford County,5033,Jill Stein,AR,173
Crawford County,5033,Jim Hedges,AR,119
Crawford County,5033,Darrell Castle,AR,80
Crawford County,5033,Lynn Kahn,AR,75
Stokes County,37169,Donald Trump,NC,17116
Stokes County,37169,Hillary Clinton,NC,4665
Stokes County,37169,Gary Johnson,NC,571
Ravalli County,30081,Donald Trump,MT,14810
Ravalli County,30081,Hillary Clinton,MT,6223
Ravalli County,30081,Gary Johnson,MT,992
Ravalli County,30081,Jill Stein,MT,261
Ravalli County,30081,Rocky De La Fuente,MT,60
Grady County,40051,Donald Trump,OK,17316
Grady County,40051,Hillary Clinton,OK,3882
Grady County,40051,Gary Johnson,OK,1088
Charlottesville city,51540,Hillary Clinton,VA,17901
Charlottesville city,51540,Donald Trump,VA,2960
Charlottesville city,51540,Gary Johnson,VA,785
Charlottesville city,51540,Evan McMullin,VA,383
Charlottesville city,51540,Jill Stein,VA,230
Washington County,40147,Donald Trump,OK,15825
Washington County,40147,Hillary Clinton,OK,5048
Washington County,40147,Gary Johnson,OK,1351
Knox County,17095,Donald Trump,IL,10737
Knox County,17095,Hillary Clinton,IL,10083
Knox County,17095,Gary Johnson,IL,1109
Knox County,17095,Jill Stein,IL,278
Douglas County,55031,Hillary Clinton,WI,11357
Douglas County,55031,Donald Trump,WI,9661
Douglas County,55031,Gary Johnson,WI,724
Douglas County,55031,Jill Stein,WI,339
Douglas County,55031,Darrell Castle,WI,93
Douglas County,55031,Monica Moorehead,WI,21
Douglas County,55031,Rocky De La Fuente,WI,12
Gila County,4007,Donald Trump,AZ,14182
Gila County,4007,Hillary Clinton,AZ,7003
Gila County,4007,Gary Johnson,AZ,803
Gila County,4007,Jill Stein,AZ,212
Macoupin County,17117,Donald Trump,IL,14322
Macoupin County,17117,Hillary Clinton,IL,6689
Macoupin County,17117,Gary Johnson,IL,934
Macoupin County,17117,Jill Stein,IL,247
Ottawa County,39123,Donald Trump,OH,12653
Ottawa County,39123,Hillary Clinton,OH,8285
Ottawa County,39123,Gary Johnson,OH,957
Ottawa County,39123,Jill Stein,OH,147
Ottawa County,39123,Richard Duncan,OH,140
Sullivan County,33019,Donald Trump,NH,10796
Sullivan County,33019,Hillary Clinton,NH,10210
Sullivan County,33019,Gary Johnson,NH,857
Sullivan County,33019,Jill Stein,NH,238
Sullivan County,33019,Rocky De La Fuente,NH,28
Gadsden County,12039,Hillary Clinton,FL,15020
Gadsden County,12039,Donald Trump,FL,6728
Gadsden County,12039,Gary Johnson,FL,229
Gadsden County,12039,Jill Stein,FL,78
Gadsden County,12039,Darrell Castle,FL,49
Gadsden County,12039,Rocky De La Fuente,FL,9
Culpeper County,51047,Donald Trump,VA,13349
Culpeper County,51047,Hillary Clinton,VA,7759
Culpeper County,51047,Gary Johnson,VA,584
Culpeper County,51047,Evan McMullin,VA,242
Culpeper County,51047,Jill Stein,VA,176
Christian County,21047,Donald Trump,KY,14108
Christian County,21047,Hillary Clinton,KY,7188
Christian County,21047,Gary Johnson,KY,474
Christian County,21047,Evan McMullin,KY,179
Christian County,21047,Jill Stein,KY,120
Christian County,21047,Rocky De La Fuente,KY,14
Tioga County,36107,Donald Trump,NY,13260
Tioga County,36107,Hillary Clinton,NY,7526
Tioga County,36107,Gary Johnson,NY,930
Tioga County,36107,Jill Stein,NY,337
Dunn County,55033,Donald Trump,WI,11486
Dunn County,55033,Hillary Clinton,WI,9034
Dunn County,55033,Gary Johnson,WI,1093
Dunn County,55033,Jill Stein,WI,294
Dunn County,55033,Darrell Castle,WI,100
Dunn County,55033,Monica Moorehead,WI,16
Dunn County,55033,Rocky De La Fuente,WI,11
Saline County,20169,Donald Trump,KS,13828
Saline County,20169,Hillary Clinton,KS,6317
Saline County,20169,Gary Johnson,KS,1378
Saline County,20169,Jill Stein,KS,461
Fremont County,8043,Donald Trump,CO,15122
Fremont County,8043,Hillary Clinton,CO,5297
Fremont County,8043,Gary Johnson,CO,890
Fremont County,8043,Jill Stein,CO,243
Fremont County,8043,Darrell Castle,CO,142
Fremont County,8043,Evan McMullin,CO,133
Fremont County,8043,Chris Keniston,CO,56
Fremont County,8043,Mike Smith,CO,25
Fremont County,8043,Ryan Scott,CO,9
Fremont County,8043,Joseph Maldonado,CO,8
Fremont County,8043,Tom Hoefling,CO,7
Fremont County,8043,Kyle Kopitke,CO,7
Fremont County,8043,Gloria La Riva,CO,7
Fremont County,8043,Rocky De La Fuente,CO,6
Fremont County,8043,Michael Maturen,CO,6
Fremont County,8043,Rod Silva,CO,4
Fremont County,8043,Laurence Kotlikoff,CO,3
Fremont County,8043,Alyson Kennedy,CO,2
Fremont County,8043,Bradford Lyttle,CO,2
Fremont County,8043,Emidio Soltysik,CO,2
Fremont County,8043,Frank Atwood,CO,1
Fremont County,8043,Jim Hedges,CO,1
Pearl River County,28109,Donald Trump,MS,17782
Pearl River County,28109,Hillary Clinton,MS,3604
Pearl River County,28109,Gary Johnson,MS,315
Pearl River County,28109,Darrell Castle,MS,83
Pearl River County,28109,Jill Stein,MS,78
Pearl River County,28109,Rocky De La Fuente,MS,12
Pearl River County,28109,Jim Hedges,MS,9
Tooele County,49045,Donald Trump,UT,11169
Tooele County,49045,Evan McMullin,UT,4769
Tooele County,49045,Hillary Clinton,UT,4573
Tooele County,49045,Gary Johnson,UT,783
Tooele County,49045,Darrell Castle,UT,191
Tooele County,49045,Jill Stein,UT,182
Tooele County,49045,Rocky Giordani,UT,123
Tooele County,49045,Rocky De La Fuente,UT,17
Tooele County,49045,Alyson Kennedy,UT,11
Tooele County,49045,Monica Moorehead,UT,11
Hall County,31079,Donald Trump,NE,14408
Hall County,31079,Hillary Clinton,NE,6282
Hall County,31079,Gary Johnson,NE,895
Hall County,31079,Jill Stein,NE,192
Cherokee County,45021,Donald Trump,SC,15167
Cherokee County,45021,Hillary Clinton,SC,6092
Cherokee County,45021,Gary Johnson,SC,242
Cherokee County,45021,Evan McMullin,SC,96
Cherokee County,45021,Jill Stein,SC,80
Cherokee County,45021,Darrell Castle,SC,52
Cherokee County,45021,Peter Skewes,SC,30
Van Zandt County,48467,Donald Trump,TX,18473
Van Zandt County,48467,Hillary Clinton,TX,2799
Van Zandt County,48467,Gary Johnson,TX,385
Van Zandt County,48467,Jill Stein,TX,77
Garfield County,40047,Donald Trump,OK,16009
Garfield County,40047,Hillary Clinton,OK,4397
Garfield County,40047,Gary Johnson,OK,1304
McKinley County,35031,Hillary Clinton,NM,13576
McKinley County,35031,Donald Trump,NM,5104
McKinley County,35031,Gary Johnson,NM,2412
McKinley County,35031,Jill Stein,NM,284
McKinley County,35031,Evan McMullin,NM,173
McKinley County,35031,Gloria La Riva,NM,76
McKinley County,35031,Darrell Castle,NM,58
McKinley County,35031,Rocky De La Fuente,NM,20
Mercer County,39107,Donald Trump,OH,17506
Mercer County,39107,Hillary Clinton,OH,3384
Mercer County,39107,Gary Johnson,OH,562
Mercer County,39107,Richard Duncan,OH,120
Mercer County,39107,Jill Stein,OH,110
San Benito County,6069,Hillary Clinton,CA,12521
San Benito County,6069,Donald Trump,CA,7841
San Benito County,6069,Gary Johnson,CA,815
San Benito County,6069,Jill Stein,CA,364
San Benito County,6069,Gloria La Riva,CA,138
Kandiyohi County,27067,Donald Trump,MN,12785
Kandiyohi County,27067,Hillary Clinton,MN,7266
Kandiyohi County,27067,Gary Johnson,MN,927
Kandiyohi County,27067,Evan McMullin,MN,347
Kandiyohi County,27067,Jill Stein,MN,164
Kandiyohi County,27067,Darrell Castle,MN,83
Kandiyohi County,27067,Dan Vacek,MN,51
Kandiyohi County,27067,Rocky De La Fuente,MN,14
Kandiyohi County,27067,Alyson Kennedy,MN,11
Coles County,17029,Donald Trump,IL,13003
Coles County,17029,Hillary Clinton,IL,7309
Coles County,17029,Gary Johnson,IL,1025
Coles County,17029,Jill Stein,IL,287
Douglas County,27041,Donald Trump,MN,13966
Douglas County,27041,Hillary Clinton,MN,6227
Douglas County,27041,Gary Johnson,MN,781
Douglas County,27041,Evan McMullin,MN,324
Douglas County,27041,Jill Stein,MN,167
Douglas County,27041,Darrell Castle,MN,87
Douglas County,27041,Dan Vacek,MN,56
Douglas County,27041,Rocky De La Fuente,MN,9
Douglas County,27041,Alyson Kennedy,MN,6
Roane County,47145,Donald Trump,TN,15880
Roane County,47145,Hillary Clinton,TN,4837
Roane County,47145,Gary Johnson,TN,596
Roane County,47145,Jill Stein,TN,102
Roane County,47145,Mike Smith,TN,87
Roane County,47145,Rocky De La Fuente,TN,60
Roane County,47145,Alyson Kennedy,TN,40
San Patricio County,48409,Donald Trump,TX,13030
San Patricio County,48409,Hillary Clinton,TX,7871
San Patricio County,48409,Gary Johnson,TX,573
San Patricio County,48409,Jill Stein,TX,113
Sagadahoc County,23023,Hillary Clinton,ME,10664
Sagadahoc County,23023,Donald Trump,ME,9304
Sagadahoc County,23023,Gary Johnson,ME,1178
Sagadahoc County,23023,Jill Stein,ME,436
Greene County,36039,Donald Trump,NY,13073
Greene County,36039,Hillary Clinton,NY,7405
Greene County,36039,Gary Johnson,NY,647
Greene County,36039,Jill Stein,NY,442
Logan County,39091,Donald Trump,OH,15957
Logan County,39091,Hillary Clinton,OH,4647
Logan County,39091,Gary Johnson,OH,657
Logan County,39091,Jill Stein,OH,129
Logan County,39091,Richard Duncan,OH,127
Davie County,37059,Donald Trump,NC,15602
Davie County,37059,Hillary Clinton,NC,5270
Davie County,37059,Gary Johnson,NC,631
Lincoln County,23015,Hillary Clinton,ME,10241
Lincoln County,23015,Donald Trump,ME,9727
Lincoln County,23015,Gary Johnson,ME,1039
Lincoln County,23015,Jill Stein,ME,425
Beltrami County,27007,Donald Trump,MN,10783
Beltrami County,27007,Hillary Clinton,MN,8688
Beltrami County,27007,Gary Johnson,MN,780
Beltrami County,27007,Evan McMullin,MN,444
Beltrami County,27007,Jill Stein,MN,420
Beltrami County,27007,Dan Vacek,MN,106
Beltrami County,27007,Darrell Castle,MN,67
Beltrami County,27007,Rocky De La Fuente,MN,14
Beltrami County,27007,Alyson Kennedy,MN,14
Riley County,20161,Donald Trump,KS,10107
Riley County,20161,Hillary Clinton,KS,9341
Riley County,20161,Gary Johnson,KS,1468
Riley County,20161,Jill Stein,KS,399
Oneida County,55085,Donald Trump,WI,12132
Oneida County,55085,Hillary Clinton,WI,8109
Oneida County,55085,Gary Johnson,WI,751
Oneida County,55085,Jill Stein,WI,199
Oneida County,55085,Darrell Castle,WI,95
Oneida County,55085,Monica Moorehead,WI,12
Oneida County,55085,Rocky De La Fuente,WI,9
Montrose County,8085,Donald Trump,CO,14382
Montrose County,8085,Hillary Clinton,CO,5466
Montrose County,8085,Gary Johnson,CO,735
Montrose County,8085,Evan McMullin,CO,211
Montrose County,8085,Darrell Castle,CO,144
Montrose County,8085,Jill Stein,CO,138
Montrose County,8085,Chris Keniston,CO,33
